Производитель;Артикул;Наименование;Объем;Состав;Вязкость;API;ACEA;Допуски OEM;Цена;Количество
QuakerState;550028524;Моторное масло QUAKER STATE Advanced Durability SAE 20W-50 (4,826л);4,826;Синтетическое;20W-50;;;;0;1
QuakerState;550028514;Моторное масло QUAKER STATE Advanced Durability SAE 10W-30 (4,826л);4,826;Синтетическое;10W-30;;;;0;1
QuakerState;550028519;Моторное масло QUAKER STATE Defy SAE 10W-30 (4,826л);4,826;Синтетическое;10W-30;;;;0;1
QuakerState;550030981;Моторное масло QUAKER STATE Synthetic Blend SAE 5W-30 (22,7л);22,7;Синтетическое;5W-30;;;;0;1
QuakerState;ab-550022592;Моторное масло QUAKER STATE Ultimate Durability SAE 5W-20 (22,7л);22,7;Синтетическое;5W-20;;;;0;1
QuakerState;550023662;Моторное масло QUAKER STATE Advanced Durability SAE 5W-30 (22,7л);22,7;Синтетическое;5W-30;;;;0;1
QuakerState;550023659;Моторное масло QUAKER STATE Defy SAE 5W-20 (22,7л);22,7;Синтетическое;5W-20;;;;0;1
QuakerState;550022590;Моторное масло QUAKER STATE Ultimate Durability SAE 5W-30 (22,7л);22,7;Синтетическое;5W-30;;;;0;Мало
QuakerState;550022591;Моторное масло QUAKER STATE Defy SAE 5W-30 (22,7л);22,7;Синтетическое;5W-30;;;;1;1
QuakerState;550023654;Моторное масло QUAKER STATE Enhanced Durability SAE 5W-20 (22,7л);22,7;Синтетическое;5W-20;;;;0;1
QuakerState;550023660;Моторное масло QUAKER STATE Ultimate Durability SAE 10W-30 (22,7л);22,7;Синтетическое;10W-30;;;;0;1
QuakerState;550023655;Моторное масло QUAKER STATE Enhanced Durability SAE 5W-30 (22,7л);22,7;Синтетическое;5W-30;;;;0;1
QuakerState;550022579;Моторное масло QUAKER STATE Defy SAE 10W-30 (22,7л);22,7;Синтетическое;10W-30;;;;1;1
QuakerState;550022594;Моторное масло QUAKER STATE Advanced Durability SAE 10W-30 (22,7л);22,7;Синтетическое;10W-30;;;;0;1
QuakerState;550022593;Моторное масло QUAKER STATE Advanced Durability SAE 5W-20 (22,7л);22,7;Синтетическое;20W-50;;;;0;1
Ravenol;1171104-004-01-999;Моторное масло RAVENOL Motobike 4-T Ester 10W-60 (4л) new;4;Синтетическое;10W-60;SM;;Aprilia Small 4-Stroke Engines,Honda Small 4-Stroke Engines,Kawasaki Small 4-Stroke Engines,Suzuki Small 4-Stroke Engines,Yamaha 4-Stroke Outboard Engines;1;1
Ravenol;1153100-100-05-100;Моторное масло для 2-Такт RAVENOL Selfmix 2T (0,1л);0,1;Минеральное;;TA,TB;;;0;1
Ravenol;1111122-001-01-000;Моторное масло RAVENOL VMP SAE 5W-30 ( 1л);1;Синтетическое;5W-40;EC,SM;A3,B4,C3;BMW Longlife-04,MB 229.31,MB 229.51,PORSCHE C30,VW 504.00,VW 507.00;0;1
Ravenol;1111121-001-01-100;Моторное масло RAVENOL HDS Hydrocrack Diesel Specif SAE 5W-30 (1л);1;Синтетическое;5W-30;EC,SM;C4;Renault RN 0720;0;1
Ravenol;1111133-001-01-000;Моторное масло RAVENOL VMO SAE 5W-40 ( 1л);1;Синтетическое;5W-40;A3,B4,C3,CF,SM;A3,B4,C3;BMW Longlife-04,FORD WSS-M2C917-A,MB 229.31,Porsche  Hochleictungs?l,VW 502 00 / 505 00,VW 505.00,VW 505.01;0;1
Ravenol;1111102-001-01-100;Моторное масло RAVENOL ECS EcoSynth SAE 0W-20 ( 1л);1;Синтетическое;0W-20;A5,B5,SL,SM;A5,B5;Chrysler MS-6395,Daihatsu genuine motor oil,FORD WSS-M2C930-A,General Motors GM 6094M,General Motors GM 9986202,Honda genuine motor oil,Mazda genuine motor oil,Mitsubishi DiaQueen,Nissan genuine motor oil,Subaru genuine motor oil,Suzuki genuine motor oil,TOYOTA genuine motor oil;0;1
Ravenol;1111101-001-01-100;Моторное масло RAVENOL WIV SAE 0W-30 ( 1л);1;Синтетическое;0W-30;;A5,B5;VW 503.00,VW 506.00,VW 506.01;0;1
Ravenol;1171104-001-01-100;Моторное масло RAVENOL Motobike 4-T Ester 10W-60 (1л);1;Синтетическое;10W-60;SM;;Aprilia Small 4-Stroke Engines,Honda Small 4-Stroke Engines,Kawasaki Small 4-Stroke Engines,Suzuki Small 4-Stroke Engines,Yamaha 4-Stroke Outboard Engines;0;1
Ravenol;1141100-001-01-100;Моторное масло RAVENOL Racing Sport Synto SAE10W-60 ( 1л);1;Синтетическое;10W-60;A3,B3,B4,CF,SL;A3,B3,B4;Citroen Team,FORD Team;0;1
Ravenol;1112105-001-01-100;Моторное масло RAVENOL HCS SAE 5W-40 ( 1л);1;Синтетическое;5W-40;A3,B3,B4,CF,SM;A3,B3,B4;BMW Longlife-98,GM-LL-B-025,MB 229.3,Porsche  Hochleictungs?l,Renault RN 0700,Renault RN 0710,VW 502 00 / 505 00,VW 505.00;0;1
Ravenol;1111132-001-01-100;Моторное масло RAVENOL VDL SAE 5W-40 ( 1л);1;Синтетическое;5W-40;CF;A3,B3;BMW Longlife-98,GM-LL-B-025,MB 229.3;0;1
Ravenol;1111130-001-01-100;Моторное масло RAVENOL VSI SAE 5W-40 ( 1л);1;Синтетическое;5W-40;A3,B3,B4,CF,SM;A3,B3,B4;BMW Longlife-98,GM-LL-B-025,Porsche  Hochleictungs?l,VW 502 00 / 505 00;1;1
Ravenol;1142100-001-01-100;Моторное масло RAVENOL Racing Rally Synto SAE5W-50 ( 1л);1;Полусинтетическое;5W-50;A3,B3,B4,CF,SL;A3,B3,B4;Citroen Team,FORD Team;0;1
Ravenol;1111108-001-01-100;Моторное масло RAVENOL Super Synthetik Oel SSL SAE 0W-40 ( 1л);1;Синтетическое;0W-40;A3,B3,B4,CF,SL,SM;A3,B3,B4;BMW Longlife-01,Chrysler MS-6395,FORD WSS-M2C930-A,General Motors GM 6094M,General Motors GM 9986202,GM-LL-A-025,Honda genuine motor oil,Mazda genuine motor oil,MB 229.1,Mitsubishi DiaQueen,Nissan genuine motor oil,Porsche  Hochleictungs?l,TOYOTA genuine motor oil,VW 502 00 / 505 00;0;1
Ravenol;1111110-001-01-100;Моторное масло RAVENOL Super Fuel Economy SFE SAE 5W-20 ( 1л);1;Синтетическое;5W-20;SL,SM;;Chrysler MS-6395,FORD WSS-M2C930-A,General Motors GM 6094M,General Motors GM 9986202,Honda genuine motor oil,Mazda genuine motor oil,Mitsubishi DiaQueen,Nissan genuine motor oil,TOYOTA genuine motor oil;0;1
Ravenol;1153203-001-01-100;Моторное масло для 4-T лод.моторов RAVENOL Outboardoel 4T SAE 10W-30 (1л);1;Полусинтетическое;10W-30;;;;0;1
Ravenol;ab-1111123-001-01-100;Моторное масло RAVENOL FEL SAE 5W-30 ( 1л);1;Синтетическое;5W-30;EC,SM;A5,B5,C1;FORD WSS-M2C-913-C,FORD WSS-M2C-934-A,FORD WSS-M2C-934-B,FORD WSS-M2C-934-C;1;1
Ravenol;1111115-001-01-100;Моторное масло RAVENOL FO SAE 5W-30 ( 1л);1;Синтетическое;5W-30;A1,A5,B1,B5,SL,SM;A1,A5,B1,B5;FORD WSS-M2C913-A,FORD WSS-M2C913-B,FORD WSS-M2C-913-C,FORD WSS-M2C929-A;0;1
Ravenol;1111117-001-01-100;Моторное масло RAVENOL HPS SAE 5W-30 ( 1л);1;Полусинтетическое;5W-30;A3,B3,B4,CF,SM;A3,B3,B4;BMW Longlife-98,MB 229.3,VW 502 00 / 505 00;1;1
Ravenol;1171101-001-01-100;Моторное масло RAVENOL Motobike 4-T Ester 5W-30 (1л);1;Синтетическое;5W-30;SM;;Aprilia Small 4-Stroke Engines,Honda Small 4-Stroke Engines,Kawasaki Small 4-Stroke Engines,Suzuki Small 4-Stroke Engines,Yamaha Small 4-Stroke Engines;0;1
Ravenol;1111120-001-01-100;Моторное масло RAVENOL WIV III SAE 5W-30 (1 л);1;Синтетическое;5W-30;C3;C3;VW 504.00,VW 507.00;0;1
Ravenol;1111118-001-01-100;Моторное масло RAVENOL HCL SAE 5W-30 ( 1л);1;Синтетическое;5W-30;A3,B3,B4,CF,SM;A3,B3,B4;BMW Longlife-01,MB 229.5,VW 502 00 / 505 00,VW 505.00;1;1
Ravenol;1111119-001-01-100;Моторное масло RAVENOL HLS SAE 5W-30 ( 1л);1;Синтетическое;5W-30;A3,B3,B4,C3,SL,SM;A3,B3,B4,C3;BMW Longlife-04,MB 229.51,VW 500.00,VW 505.01,VWE 505 00;0;1
Ravenol;1112106-001-01-100;Моторное масло RAVENOL TSJ SAE 10W-30 ( 1л);1;Полусинтетическое;10W-30;A3,B3,B4,CF,SM;A3,B3,B4;Chrysler MS-6395,Daewoo genuine motor oil,Daihatsu genuine motor oil,FORD WSS-M2C935-A,General Motors GM 4718M,General Motors GM 6094M,Honda genuine motor oil,Hyundai genuine motor oil,Isuzu genuine motor oil,KIA genuine motor oil,Mazda genuine motor oil,Mitsubishi DiaQueen,Nissan genuine motor oil,SsangYong genuine motor oil,Subaru genuine motor oil,Suzuki genuine motor oil,TOYOTA genuine motor oil;1;1
SHELL;550040585;Моторное масло SHELL Helix Ultra Professional AV-L SAE 5W-30 (1л);1;Синтетическое;5W-30;;; VW 507.00,VW 504.00;0;1
SHELL;550040461;Моторное масло SHELL Helix Ultra Professional AV SAE 0W-30 (1л);1;Синтетическое;0W-30;A5/B5;; VW 506.01,VW 503.00,VW 506.00;1;1
SHELL;550040571;Моторное масло SHELL Helix Ultra Professional AG SAE 5W-30 (1л);1;Синтетическое;5W-30;SN;C3;;0;1
SHELL;550021881;Моторное масло SHELL Helix HX7 SAE 10W-40 (1л);1;Полусинтетика;10W-40;CF,SN; B4,A3,B3;FIAT 9.55535-G2,MB 229.3,Renault RN 0700,VW 502.00,VW 505.00;0;1
SHELL;550019858;Моторное масло SHELL Rotella T1 40 (3,785л);3,785;Минеральное;40;;;;1;1
SHELL;550019913;Моторное масло SHELL Rotella T Triple Protection SAE 15W-40 (3,785л);3,785;Синтетическое;15W-40;;;;0;1
SHELL;550019920;Моторное масло SHELL Rotella T Triple Protection SAE 10W-30 (3,785л);3,785;Синтетическое;10W-30;;;;0;1
SHELL;550019857;Моторное масло SHELL Rotella T1 30 (3,785л);3,785;Минеральное;30;;;;1;1
SHELL;550019921;Моторное масло SHELL Rotella T6 SAE 5W-40 (3,785л);3,785;Синтетическое;5W-40;;;;0;1
SHELL;550019908;Моторное масло SHELL Rotella T5 SAE 10W-30 (3,785л);3,785;Полусинтетическое;10W-30;;;;0;1
SHELL;550019907;Моторное масло SHELL Rotella T5 SAE 10W-40 (3,785л);3,785;Полусинтетическое;10W-40;;;;0;Мало
SHELL;550022758;Моторное масло для 2-Такт лод.мот. SHELL Nautilus 2-Cycle Engine Oil High Perfomance Multi-Use (3,785л);3,785;Синтетическое;;;;;0;1
SHELL;550021541;Моторное масло SHELL Helix Diesel Ultra SAE 5W-40 (4л);4;Синтетическое;5W-40;CF;B3,B4;BMW Longlife-01,MB 229.5,Renault RN 0710,VW 502.00 / 505.00,VW 503.01;0;1
SHELL;550039631;Моторное масло SHELL Helix HX8 SAE 5W-40 (4л) ;4;Синтетическое;5W-40;CF,SM; B4,A3,B3;BMW Longlife-01,MB 229.5,VW 502.00,VW 505.00;0;1
SHELL;550023625;Моторное масло SHELL Helix HX8 SAE 5W-40 (4л) ;4;Синтетическое;5W40;CF,SM; B4,A3,B3;BMW Longlife-01,MB 229.5,VW 502.00,VW 505.00;0;1
SHELL;550021605;Моторное масло SHELL Helix Ultra SAE 0W-40 (4л);4;Синтетическое;0W-40;CF,SN; B4,A3,B3;BMW Longlife-01,Ferrari,FIAT 9.55535-Z2,MB 229.5,Porsche A40,Renault RN 0700,Renault RN 0710,VW 502.00,VW 505.00;1;1
SHELL;550021643;Моторное масло SHELL Helix Ultra Extra SAE 5W-30 (4л) (550021645);4;Синтетическое;5W30;;A3/B3/B4,C2,C3;BMW Longlife-04,MB 229.31,MB 229.51,VW 504.00,VW 507.00;0;1
SHELL;550021840;Моторное масло SHELL Helix Ultra Racing SAE 10W-60 (4л);4;Синтетическое;10W-60;CF,SN;A3/B3/B4;MB 229.1,VW 501.01,VW 505.00;0;1
SHELL;550021556;Моторное масло SHELL Helix Ultra SAE 5W-40 (4л);4;Синтетическое;5W-40;SM/CF;A3/B3/B4;BMW Longlife-01,MB 229.1,MB 229.3,Renault RN 0700,Renault RN 0710,VW 502.00 / 505.00,VW 503.01;0;1
SHELL;550027324;Моторное масло SHELL Helix Ultra SAE 5W-40 (4л);4;Синтетическое;5W-40;SM/CF;A3/B3/B4;BMW Longlife-01,MB 229.1,MB 229.3,Renault RN 0700,Renault RN 0710,VW 502.00 / 505.00,VW 503.01;0;1
SHELL;550027408;Моторное масло SHELL Helix HX7 SAE 5W-40 (4л) ;4;Полусинтетическое;5W-40;CF,SN; B4,A3,B3;FIAT 9.55535-G2,MB 229.3,Renault RN 0700,VW 502.00,VW 505.00;0;1
SHELL;550021779;Моторное масло SHELL Helix HX7 SAE 5W-40 (4л) ;4;Полусинтетика;5W-40;CF,SN; B4,A3,B3;FIAT 9.55535-G2,MB 229.3,Renault RN 0700,VW 502.00,VW 505.00;0;1
SHELL;550040610;Моторное масло SHELL Helix Ultra Professional AM-L SAE 5W-30 (4л);4;Синтетическое;5W-30;SN/CF;C3; MB 229.51,BMW LL-04;0;1
SHELL;550021716;Моторное масло SHELL Helix Diesel HX7 SAE 10W-40 (4л);4;Синтетическое;10W-40;CF;A3/B3/B4;BMW Longlife-01,MB 229.1,VW 505.00;0;1
SHELL;550027404;Моторное масло SHELL Helix HX7 SAE 10W-40 (4л);4;Полусинтетическое;10W-40;CF,SN; B4,A3,B3;FIAT 9.55535-G2,MB 229.3,Renault RN 0700,VW 502.00,VW 505.00;0;1
SHELL;550021880;Моторное масло SHELL Helix HX7 SAE 10W-40 (4л);4;Полусинтетическое;10W-40;CF,SN; B4,A3,B3;FIAT 9.55535-G2,MB 229.3,Renault RN 0700,VW 502.00,VW 505.00;0;1
SHELL;550040755;Моторное масло SHELL Helix Ultra SAE 5W-40 (4л);4;Синтетическое;5W-40; CF,SN; B4,A3,B3; FIAT 9.55535-Z2,BMW LL-01,MB 229.5,PORSCHE A40,RN 0710,RN0700,VW 500.00,VW 502.00,VW 505.00;0;1
SHELL;550040468;Моторное масло SHELL Helix Ultra Professional AV-L SAE 5W-30 (4л);4;Синтетическое;5W-30;;; VW 507.00,VW 504.00;0;1
SHELL;550040559;Моторное масло SHELL Helix Ultra Professional AG SAE 5W-30 (4л);4;Синтетическое;5W-30;SN;C3;;0;1
SHELL;550019919;Моторное масло SHELL Rotella T Triple Protection SAE 15W-40 (9,50л);9,5;Синтетическое;15W-40;;;;1;1
SHELL;550014353;Моторное масло SHELL Rimula R6 LME SAE 5W-30 (20л);20;Синтетическое;5W-30;;;Cummins CES 20077,Deutz DQC IV-10 LA,MACK EO-N,MAN 3477,MB 228.51,Renault RLD-2,VOLVO VDS-3;0;1
SHELL;ab-550019892;Моторное масло SHELL Rotella T1 40 (18,90л);18,9;Минеральное;40;;;;0;1
SHELL;550019916;Моторное масло SHELL Rotella T Triple Protection SAE 15W-40 (18,90л);18,9;Синтетическое;15W-40;;;;0;1
SHELL;550014315;Моторное масло SHELL Rimula R6 LM SAE 10W-40 (20л);20;Синтетическое;10W-40;CF,CF-4,CG-4,CH-4,CI-4;E6,E7;Caterpillar ECF-1a,MAN 3271-1,MAN 3477,MB 226.9,MB 228.51,Volvo VDS-3;0;1
SHELL;550019891;Моторное масло SHELL Rotella T1 30 (18,90л);18,9;Минеральное;30;;;;0;1
SHELL;550019910;Моторное масло SHELL Rotella T3 SAE 15W-40 (18,90л);18,9;Минеральное;15W-40;CF,CI-4,CI-4+,CJ-4,SL,SM;E7,E9;Caterpillar ECF-2,Caterpillar ECF-3,Cummins CES 20081,Detroit Diesel Power Guard 93K218,Deutz DQC III-05,MACK EO-O Premium Plus 07,MAN 3275,MB 228.31,MTU Type 2,Renault RLD-3,VOLVO VDS-4;0;1
SHELL;550014319;Моторное масло SHELL Rimula R6 M SAE 10W-40 (20л);20;Синтетическое;10W-40;CF; E4,E7;Cummins CES 20072,Deutz: DQC IV-05,MACK EO-M Plus,MAN 3275,MB 228.5,Renault RXD,Scania LDF II,Volvo VDS-3;0;1
SHELL;550027095;Моторное масло для 4-Такт SHELL Advance 4T AX7 SAE 10W-40 (20л);20;Синтетическое;10W-40;SL;;;0;1
SHELL;550012924;Моторное масло SHELL Rimula R5 E SAE 10W-40 (20л);20;Полусинтетическое;10W-40; CF,CF-4,CG-4,CH-4,Cl-4; E3,E5,E7;Cummins CES 20071,Cummins CES 20072,Cummins CES 20076,Cummins CES 20077,Cummins CES 20078,Mack EO M ,MACK EO-M Plus,MAN 3275,MB 228.3,Renault RLD-2,Volvo VDS-3;1;1
SHELL;;Моторное масло SHELL Rimula R6 ME SAE 5W-30 (20л);20;;5W-30;CF;A4;MAN 3277,MB 228.5,VOLVO VDS-2;0;1
SHELL;;Моторное масло SHELL Rimula R4 X SAE 15W-40 (20л);20;;15W-40;CF-4,CG-4,CH-4,CI-4;E3,E5,E7;MB 228.3,VOLVO VDS-3;0;1
SHELL;550015058;Моторное масло SHELL Rimula R4 L SAE 15W-40 (20л);20;Минеральное;15W-40;CF,CF-4,CG-4,CH-4,CI-4+,CJ-4;E7;Caterpillar ECF-2,Caterpillar ECF-3,MB 228.3,MB 228.31,Volvo VDS-3,Volvo VDS-4;0;1
SHELL;550014400;Моторное масло SHELL Rimula R3 X SAE 15W-40 (20л);20;Минеральное;15W-40; CF,CF-4,CG-4,CH-4; E3,E5;;1;1
SHELL;550027094;Моторное масло для 4-Такт SHELL Advance 4T AX7 SAE 15W-50 (20л);20;Синтетическое;15W-50;;;;0;1
SHELL;550027102;Моторное масло для 4-Такт SHELL Advance 4T Ultra SAE 15W-50 (20л);20;Синтетическое;15W-50;SG;;;0;1
SHELL;550023657;Моторное масло SHELL Rotella T Triple Protection SAE 15W-40 (22,70л);22,7;Синтетическое;15W-40;;;;0;1
SHELL;550023656;Моторное масло SHELL Rotella T6 SAE 5W-40 (22,70л);22,7;Синтетическое;5W-40;;;;0;1
SHELL;550026499;Моторное масло SHELL Helix Ultra E SAE 5W-30 (209л);209;Синтетическое;5W-30;CF,SN; B4,A3,B3;BMW Longlife-01,MB 229.5,VW 502.00 / 505.00;0;1
SHELL;550014313;Моторное масло SHELL Rimula R4 L SAE 15W-40 (209л);209;Минеральное;15W-40; CF,CF-4,CG-4,CH-4,CI-4,CI-4+,CJ-4;E7;Caterpillar ECF-2,Caterpillar ECF-3,Cummins CES 20077,Cummins CES 20081,DDC — 93K218,Deutz DQC III-05,MACK EO-O PP,MAN 3275,MB 228.3,MB 228.31,Renault RLD-3,Volvo  VDS-4,Volvo VDS-3;0;1
SHELL;550014398;Моторное масло SHELL Rimula R3 X SAE 15W-40 (209л);209;Минеральное;15W-40;CF,CF-4,CG-4,CH-4;E3,E5;Allison C4,Caterpillar ECF-1a,Cummins CES 20071,Cummins CES 20072,Cummins CES 20076,Cummins CES 20077,MACK EO-M ,MACK EO-M Plus,MAN 3275,MB 228.3,MTU Type 2,Renault RD-2,VOLVO VDS-2;1;Мало
SHELL;550027322;Моторное масло SHELL Helix Ultra SAE 5W-40 (209л);209;Синтетическое;5W-40;;;;1;1
SHELL;550014261;Моторное масло SHELL Helix Ultra SAE 5W-40 (209л);209;Синтетическое;5W-40;;;;1;1
SHELL;550013612;Моторное масло SHELL Helix Ultra Extra SAE 5W-30 (209л);209;Синтетическое;5W-30;;A3/B3/B4,C2,C3;BMW Longlife-04,MB 229.31,MB 229.51,VW 504.00,VW 507.00;1;1
SHELL;550027072;Моторное масло для 4-Такт SHELL Advance 4T AX7 SAE 10W-40 (209л);209;Синтетическое;10W-40;SL;;;1;1
SHELL;550012923;Моторное масло SHELL Rimula R6 M SAE 10W-40 (209л);209;Синтетическое;10W-40;CF; E4,E7;Cummins CES 20072,Deutz: DQC IV-05,MACK EO-M Plus,MAN 3275,MB 228.5,Renault RXD,Scania LDF II,Volvo VDS-3;1E+018;1
SHELL;550027402;Моторное масло SHELL Helix HX7 SAE 10W-40 (209л);209;Полусинтетическое;10W-40;CF,SN; B4,A3,B3;FIAT 9.55535-G2,MB 229.3,Renault RN 0700,VW 502.00,VW 505.00;1;1
SHELL;550020264;Моторное масло SHELL Helix HX7 SAE 10W-40 (209л);209;Полусинтетика;10W-40;CF,SN; B4,A3,B3;FIAT 9.55535-G2,MB 229.3,Renault RN 0700,VW 502.00,VW 505.00;1;1
SHELL;5011987118812;Моторное масло SHELL Rimula R5 E SAE 10W-40 (209л);209;Полусинтетическое;10W-40; CF,CF-4,CG-4,CH-4,Cl-4; E3,E5,E7;Cummins CES 20071,Cummins CES 20072,Cummins CES 20076,Cummins CES 20077,Cummins CES 20078,Mack EO M ,MACK EO-M Plus,MAN 3275,MB 228.3,Renault RLD-2,Volvo VDS-3;1;1
SHELL;550040211;Моторное масло SHELL Helix Ultra Professional AM-L SAE 5W-30 (209л);209;Синтетическое;5W-30;SN/CF;C3; MB 229.51,BMW LL-04;1;1
SHELL;550040752;Моторное масло SHELL Helix Ultra SAE 5W-40 (208л);208;Синтетическое;5W-40; CF,SN; B4,A3,B3; FIAT 9.55535-Z2,BMW LL-01,MB 229.5,PORSCHE A40,RN 0710,RN0700,VW 500.00,VW 502.00,VW 505.00;1;1
SHELL;5011987144491;Моторное масло SHELL Helix HX7 SAE 5W-40 (209л);209;Синтетическое;5W-40;;;;1;1
STATOIL;1000460;Моторное масло STATOIL GardenWay SAE 30 (0,6л);0,6;Минеральное;30;CF/SG;;;1;1
STATOIL;1000872;Моторное масло STATOIL LazerWay C3 SAE 5W-40 (1л);1;Синтетическое;5W-40;SM/CF; C3,A3/B3; MB 229.51,BMW LL-04,VW 502.00,VW 505.00,VW 505.01;1;1
STATOIL;1000104;Моторное масло STATOIL 2-T Way Snowmobile (1л);1;Полусинтетическое;;;; HVA 346,HVA 232,HVA 242;1;1
STATOIL;1000845;Моторное масло STATOIL LazerWay SAE 5W-20 (1л);1;Синтетическое;5W-20;;A1/B1;Ford M2C-925-B;1;1
STATOIL;1000850;Моторное масло STATOIL LazerWay SAE 5W-40 (1л);1;Синтетическое;5W-40;SL;A3/B4; Opel GM-LL-B-025,MB 229.5,Porsche A40,VW 502.00,VW 505.00;1;1
STATOIL;1000866;Моторное масло STATOIL LazerWay C3 SAE 5W-30 (1л);1;Синтетическое;5W-30; CF,SM,SN;C3;  VW 505.01,BMW LL-04, GM Dexos II,MB 229.51,VW 502.00;1;1
STATOIL;ab-1000877;Моторное масло STATOIL LazerWay C4 SAE 5W-30 (1л);1;Синтетическое;5W-30;;C4;  MB 229.51,Renault RN0720;1;1
STATOIL;1000859;Моторное масло STATOIL LazerWay C1 SAE 5W-30 (1л);1;Синтетическое;5W-30;; C1,A1/B1;;1;1
STATOIL;1000091;Моторное масло для 2-Такт STATOIL 2-Stroke Engine Oil (1л);1;Полусинтетическое;;;;;1;1
STATOIL;1000899;Моторное масло STATOIL LazerWay V SAE 0W-30 (1л);1;Синтетическое;0W-30;SL;A5/B5; Renault VI RD-2,Renault VI RLD;1;1
STATOIL;1000107;Моторное масло для 4-Такт лод. мот. STATOIL 4-T Way Outboard SAE 10W-30 (1л);1;;10W-30;SL;;;1;1
STATOIL;1001506;Моторное масло STATOIL SuperWay SAE 10W-40 (1л);1;Полусинтетическое;10W-40;SL/CF;A3/B3; MB 229.1,VW 501.01,VW 505.00;1;1
STATOIL;1000099;Моторное масло STATOIL 2-T Way Low Smoke (1л);1;Полусинтетическое;;;;HVA 346;1;1
STATOIL;1000881;Моторное масло STATOIL LazerWay F SAE 5W-30 (1л);1;Синтетическое;5W-30;;A5/B5;  Ford WSS-M2C913-B,Ford WSS-M2C913-C;1;1
STATOIL;1000892;Моторное масло STATOIL LazerWay LL SAE 5W-30 (1л);1;Синтетическое;5W-30;;C3;  VW 507.00,VW 504.00;1;1
STATOIL;1001511;Моторное масло STATOIL SuperWay TDI Diesel SAE 10W-40 (1л);1;Полусинтетическое;10W-40;CF;A3/B4; VW 505.00,MB 229.1,VW 501.01;1;1
STATOIL;1000238;Моторное масло STATOIL ClassicWay SAE 10W-40 (1л);1;Минеральное;10W-40; SL,CF;A3/B3; MB 229.1,VW 501.01,VW 505.00;1;1
STATOIL;1000861;Моторное масло STATOIL LazerWay C2 SAE 5W-30 (1л);1;Синтетическое;5W-30;SN;C2;PSA B71 2290;1;1
STATOIL;1000160;Моторное масло STATOIL AquaWay 2-Stoke Oil (1л);1;Минеральное;;;;;1;1
STATOIL;1000856;Моторное масло STATOIL LazerWay SAE 5W-50 (1л);1;Синтетическое;5W-50;SL;A3/B4; Opel GM-LL-B-025,MB 229.5,Porsche A40,VW 502.00,VW 505.00;1;1
STATOIL;1000897;Моторное масло STATOIL LazerWay TDI Diesel SAE 5W-40 (1л);1;Синтетическое;5W-40;CF;B3/B4; MB 229.3,MB 229.5,Opel GM LL-B-025,VW 500.00;1;1
STATOIL;1000864;Моторное масло STATOIL LazerWay C2 SAE 5W-30 (4л);4;Синтетическое;5W-30;SN;C2;PSA B71 2290;1;1
STATOIL;1000853;Моторное масло STATOIL LazerWay SAE 5W-40 (4л);4;Синтетическое;5W-40;SL;A3/B4; Opel GM-LL-B-025,MB 229.5,Porsche A40,VW 502.00,VW 505.00;1;1
STATOIL;1000858;Моторное масло STATOIL LazerWay SAE 5W-50 (4л);4;Синтетическое;5W-50;SL;A3/B4; Opel GM-LL-B-025,MB 229.5,Porsche A40,VW 502.00,VW 505.00;1;1
STATOIL;1000898;Моторное масло STATOIL LazerWay TDI Diesel SAE 5W-40 (4л);4;Синтетическое;5W-40;CF;B3/B4; MB 229.3,MB 229.5,Opel GM LL-B-025,VW 500.00;1;Мало
STATOIL;1000875;Моторное масло STATOIL LazerWay C3 SAE 5W-40 (4л);4;Синтетическое;5W-40;SM/CF; A3/B3,A3/B4,C3; Ford WSS-M2C 917,BMW LL-04,MB 229.31,MB 229.51,Porshe,VW 502.00,VW 505.00,VW 505.01;1;1
STATOIL;1000162;Моторное масло STATOIL AquaWay (4л);4;Минеральное;;;;;1;1
STATOIL;1000884;Моторное масло STATOIL LazerWay F SAE 5W-30 (4л);4;Синтетическое;5W-30;SJ/CF;A5/B5; Ford WSS-M2C913-B,Ford WSS-M2C913-C,MB 229.3,VW 502.00,VW 505.00;1;1
STATOIL;1000105;Моторное масло STATOIL 2-T Way Snowmobile (4л);4;Полусинтетическое;;;; HVA 346,HVA 232,HVA 242;1;1
STATOIL;1000241;Моторное масло STATOIL ClassicWay SAE 10W-40 (4л);4;Минеральное;10W-40; SL,CF;A3/B3; MB 229.1,VW 501.01,VW 505.00;1;1
STATOIL;1000848;Моторное масло STATOIL LazerWay SAE 5W-20 (4л);4;Синтетическое;5W-20;;A1/B1;Ford M2C-925-B;1;1
STATOIL;1000869;Моторное масло STATOIL LazerWay C3 SAE 5W-30 (4л);4;Синтетическое;5W-30; CF,SM,SN;C3; VW 502.00, VW 505.02,MB 229.51, BMW LL-04, GM Dexos II;1;1
STATOIL;1000880;Моторное масло STATOIL LazerWay C4 SAE 5W-30 (4л);4;Синтетическое;5W-30;;C4;  MB 229.51,Renault RN0720;1;1
STATOIL;1000895;Моторное масло STATOIL LazerWay LL SAE 5W-30 (4л);4;Синтетическое;5W-30;;C3;  VW 507.00,VW 504.00;1;1
STATOIL;1000902;Моторное масло STATOIL LazerWay V SAE 0W-30 (4л);4;Синтетическое;0W-30;SL;A5/B5; Renault VI RD-2,Renault VI RLD;1;1
